threads,mode,mean_ms,speedup,efficiency_pct
1,in-process,176.80,0.9757,97.57
1,Renderer shared Arc,108.17,0.9822,98.22
1,Renderer per-thread,109.14,0.9735,97.35
1,subprocess,186.07,0.9788,97.88
2,in-process,112.08,1.5391,76.95
2,Renderer shared Arc,64.14,1.6564,82.82
2,Renderer per-thread,63.47,1.6740,83.70
2,subprocess,104.13,1.7491,87.45
4,in-process,63.51,2.7162,67.90
4,Renderer shared Arc,43.81,2.4250,60.63
4,Renderer per-thread,41.28,2.5740,64.35
4,subprocess,67.25,2.7083,67.71
8,in-process,42.02,4.1058,51.32
8,Renderer shared Arc,29.31,3.6244,45.31
8,Renderer per-thread,27.94,3.8028,47.54
8,subprocess,46.96,3.8784,48.48
16,in-process,37.58,4.5899,28.69
16,Renderer shared Arc,25.78,4.1206,25.75
16,Renderer per-thread,26.03,4.0813,25.51
16,subprocess,47.61,3.8257,23.91
